id,carat,cut,color,clarity,depth,table,x,y,z,price
14229,0.72,Ideal,H,VS1,61.8,56.0,5.78,5.74,3.56,2691
3815,0.3,Very Good,E,VVS2,62.3,56.0,4.26,4.28,2.66,731
17979,0.41,Premium,F,VS1,61.8,58.0,4.76,4.8,2.95,1076
17485,0.73,Premium,E,SI1,59.1,59.0,5.89,5.85,3.47,2851
22649,0.79,Premium,E,SI1,60.1,60.0,6.05,5.98,3.63,3024
8,0.3,Ideal,F,IF,62.0,56.0,4.35,4.37,2.7,886
10575,0.41,Ideal,D,SI1,63.0,56.0,4.7,4.73,2.97,1015
23605,0.55,Ideal,E,VS1,61.2,57.0,5.27,5.29,3.23,1556
29886,0.31,Ideal,E,VS2,61.7,56.0,4.38,4.41,2.71,872
4094,1.5,Very Good,H,VS1,60.4,59.0,7.38,7.41,4.48,12951
6014,0.71,Ideal,G,SI1,61.9,57.0,5.7,5.74,3.54,2441
877,1.0,Ideal,G,SI1,61.9,57.0,6.43,6.46,3.99,5248
10046,1.01,Good,G,VS2,62.5,62.0,6.33,6.37,3.96,6666
11541,1.0,Ideal,F,SI1,62.5,56.0,6.38,6.35,3.98,4643
7815,1.2,Very Good,F,VS2,60.8,56.0,6.84,6.89,4.18,9541
5140,1.56,Ideal,D,VS1,61.6,56.0,7.46,7.49,4.61,9856
6490,0.31,Ideal,H,SI1,61.8,57.0,4.37,4.39,2.71,460
15627,0.54,Ideal,G,VVS1,60.4,56.0,5.32,5.34,3.22,2177
21455,1.23,Premium,E,VS2,59.1,58.0,7.05,6.98,4.15,10285
1876,0.72,Ideal,I,VS1,61.4,56.0,5.83,5.77,3.56,2375
13691,1.34,Ideal,G,VS1,62.0,56.0,7.05,7.08,4.38,9730
27945,0.3,Premium,H,VVS2,62.2,58.0,4.32,4.29,2.67,776
23925,1.2,Good,H,SI1,63.7,55.0,6.64,6.71,4.26,5773
22634,1.1,Ideal,H,VS1,61.9,56.0,6.65,6.61,4.1,5294
25815,0.3,Premium,G,VVS2,63.0,58.0,4.29,4.27,2.7,878
2518,0.34,Ideal,E,VS1,61.1,56.0,4.51,4.53,2.76,739
22196,0.4,Ideal,E,SI1,61.1,56.0,4.78,4.74,2.91,810
20007,1.01,Premium,H,VS2,60.7,59.0,6.48,6.43,3.92,5220
17717,0.51,Very Good,F,IF,60.0,60.0,5.18,5.21,3.12,2197
25624,0.72,Ideal,E,VVS1,61.8,56.0,5.78,5.8,3.57,3991
24742,0.75,Very Good,F,VS1,62.1,59.0,5.81,5.84,3.61,2989
25299,0.3,Ideal,G,VVS2,62.1,56.0,4.31,4.29,2.67,878
1951,1.06,Ideal,G,VS1,60.9,57.0,6.58,6.61,4.03,8049
7924,0.3,Ideal,I,VVS2,61.8,56.0,4.31,4.34,2.67,495
16204,2.03,Very Good,I,VS2,60.4,60.0,8.33,8.29,4.99,17273
2187,0.5,Premium,E,VS2,60.7,61.0,5.16,5.13,3.11,1624
19488,0.37,Ideal,G,VS1,61.7,54.0,4.61,4.64,2.85,850
7444,0.3,Ideal,F,SI1,62.3,54.0,4.3,4.34,2.69,605
13655,0.9,Very Good,G,SI1,63.4,59.0,6.04,6.08,3.84,3712
16214,0.74,Very Good,F,VS1,61.7,60.0,5.79,5.82,3.58,2863
13439,0.31,Ideal,G,VVS2,62.0,53.0,4.38,4.4,2.72,672
18911,0.36,Premium,G,VS2,60.6,58.0,4.59,4.62,2.78,705
15202,0.41,Ideal,E,VS1,61.1,56.0,4.76,4.81,2.93,1043
27116,1.15,Very Good,H,SI1,63.3,55.0,6.64,6.6,4.18,6089
3859,1.22,Premium,G,VS1,61.7,59.0,6.8,6.82,4.2,8381
29983,0.3,Ideal,I,VS1,61.3,54.9,4.33,4.36,2.66,491
19920,1.59,Ideal,G,VS2,60.9,57.0,7.54,7.57,4.59,16087
625,0.42,Ideal,E,VS1,62.1,55.0,4.8,4.82,2.99,1153
20390,1.2,Good,H,SI1,63.7,60.0,6.75,6.69,4.27,5443
17007,0.7,Fair,J,SI1,64.8,56.0,5.6,5.56,3.62,2288
19946,0.29,Ideal,E,VVS2,61.9,56.0,4.28,4.33,2.66,642
29867,0.51,Very Good,E,SI1,62.9,58.0,5.06,5.1,3.19,1422
25417,1.09,Ideal,I,VS1,62.7,56.0,6.55,6.58,4.1,5840
13701,0.33,Ideal,G,VVS1,61.2,57.0,4.42,4.44,2.71,868
29491,0.7,Ideal,E,SI2,61.7,55.0,5.7,5.74,3.53,2387
17765,0.41,Premium,J,VS1,61.6,60.0,4.74,4.78,2.93,719
10818,0.3,Good,D,SI1,63.5,56.0,4.24,4.25,2.69,552
26666,0.38,Premium,F,SI1,60.2,58.0,4.73,4.7,2.85,898
3132,0.51,Good,E,SI1,63.6,56.0,5.07,5.1,3.24,1316
6793,0.4,Very Good,F,SI1,63.1,56.0,4.73,4.7,2.97,945
14639,1.33,Ideal,I,SI2,61.7,55.0,7.06,7.12,4.36,6595
3622,0.7,Ideal,J,SI1,60.6,59.0,5.71,5.75,3.47,1790
26401,0.42,Ideal,F,VVS2,62.5,55.0,4.83,4.79,3.01,1111
11461,0.31,Ideal,E,VS2,62.5,56.0,4.29,4.32,2.69,604
29094,1.34,Premium,I,SI1,62.0,58.0,7.04,7.09,4.38,6513
4151,0.3,Ideal,E,VVS2,62.2,53.0,4.34,4.39,2.71,842
6684,0.72,Premium,D,SI1,62.4,58.0,5.72,5.73,3.57,2726
4802,0.31,Premium,G,VS1,62.4,58.0,4.32,4.36,2.7,625
22743,1.0,Ideal,H,SI1,61.8,57.0,6.37,6.35,3.93,5063
27301,0.41,Ideal,H,VVS1,61.9,54.4,4.77,4.8,2.96,934
18342,0.31,Ideal,E,VS2,61.8,55.0,4.37,4.34,2.69,872
14830,0.32,Ideal,E,VS2,61.6,56.0,4.4,4.42,2.71,702
16142,1.17,Very Good,E,SI2,62.6,60.0,6.7,6.73,4.21,4914
24153,1.01,Very Good,I,SI1,61.9,57.0,6.43,6.47,3.98,4010
7138,1.01,Good,E,VS1,63.1,58.0,6.37,6.43,4.04,6738
22140,1.57,Premium,I,SI1,62.1,58.0,7.45,7.39,4.61,7708
3878,0.42,Good,G,VS2,57.6,59.0,4.93,4.69,2.8,1087
3245,1.02,Ideal,G,VS1,61.4,56.0,6.5,6.47,3.98,7476
17965,0.31,Premium,D,VS2,61.2,58.0,4.32,4.35,2.65,734
409,2.0,Very Good,H,SI1,63.4,59.0,8.01,7.93,5.05,15874
16674,1.04,Very Good,I,SI1,62.8,59.0,6.41,6.47,4.05,4455
25218,1.01,Good,H,SI1,63.5,57.0,6.34,6.42,4.05,4853
18706,2.04,Premium,G,SI2,62.3,58.0,8.14,8.07,5.05,12765
23929,1.01,Premium,G,VS2,62.2,60.0,6.37,6.35,3.96,6018
28312,0.96,Ideal,G,SI2,62.0,56.0,6.3,6.34,3.93,3521
16449,0.93,Very Good,H,SI1,62.2,59.0,6.17,6.21,3.86,3544
18113,2.01,Premium,I,VS2,61.5,62.0,8.09,7.98,4.94,14044
7877,1.01,Premium,F,VS1,62.4,58.0,6.43,6.38,4.0,6199
18379,0.3,Good,G,VVS2,63.1,54.0,4.28,4.32,2.71,819
3174,0.9,Premium,E,SI2,62.1,60.0,6.19,6.13,3.83,3534
11427,0.91,Ideal,D,SI1,62.4,55.0,6.15,6.18,3.85,3963
15987,0.3,Ideal,D,VS2,61.5,56.0,4.31,4.38,2.67,670
28105,0.57,Ideal,G,VS2,60.4,57.0,5.43,5.35,3.25,1752
17688,1.07,Ideal,H,SI2,62.5,55.0,6.58,6.61,4.11,4242
2625,0.7,Ideal,H,SI1,59.5,58.0,5.78,5.81,3.46,2190
20026,1.06,Ideal,G,SI2,62.2,57.0,6.53,6.5,4.05,4136
5346,0.44,Premium,D,SI1,61.0,58.0,4.89,4.93,2.99,1214
23863,0.34,Ideal,H,VS2,62.0,55.0,4.46,4.48,2.78,537
25766,0.38,Ideal,I,VS1,61.9,55.9,4.63,4.66,2.87,654
10724,0.41,Ideal,F,SI1,60.4,55.0,4.81,4.84,2.91,792
2763,0.51,Very Good,E,SI1,59.9,63.0,5.14,5.17,3.1,1330
9331,1.0,Very Good,D,SI1,63.1,54.0,6.38,6.42,4.03,5555
22069,0.7,Ideal,D,SI1,61.6,56.0,5.74,5.77,3.54,2724
5926,0.74,Good,D,SI2,62.5,58.0,5.74,5.77,3.6,2516
16783,1.5,Good,F,SI2,62.4,60.0,7.26,7.31,4.54,9526
27588,0.7,Ideal,E,VS2,61.3,57.0,5.7,5.74,3.51,2901
9816,0.33,Ideal,G,VS1,61.8,56.0,4.46,4.49,2.77,681
6611,0.39,Very Good,F,VS1,62.1,56.0,4.64,4.69,2.9,687
7547,0.4,Ideal,G,VVS1,61.1,56.0,4.77,4.79,2.92,997
17972,0.72,Ideal,E,SI1,62.7,57.0,5.69,5.75,3.58,2676
23585,1.23,Premium,G,VS2,62.2,59.0,6.88,6.82,4.27,8616
11775,0.7,Premium,F,SI2,61.8,58.0,5.7,5.68,3.51,2147
29736,0.31,Ideal,D,VS2,60.5,56.0,4.42,4.39,2.67,942
28437,1.5,Good,H,VS2,64.1,57.0,7.19,7.25,4.62,10483
22221,0.32,Ideal,D,VS2,60.8,56.0,4.42,4.39,2.68,972
3354,0.33,Ideal,D,VS2,61.6,57.0,4.42,4.44,2.73,652
25204,0.51,Ideal,D,SI1,60.2,57.0,5.22,5.25,3.16,1658
13082,1.0,Very Good,E,SI2,63.1,54.0,6.35,6.41,4.02,4034
88,2.01,Ideal,I,SI1,60.3,59.0,8.18,8.25,4.96,15930
14911,0.72,Ideal,F,VS2,61.6,55.0,5.73,5.79,3.55,3033
28991,0.54,Ideal,G,SI2,62.5,56.0,5.21,5.17,3.25,1088
3814,0.32,Ideal,D,VS2,63.0,54.0,4.37,4.4,2.77,758
23954,0.54,Ideal,G,SI1,61.5,56.0,5.25,5.29,3.24,1337
1676,0.32,Ideal,D,VS1,62.4,54.0,4.36,4.39,2.73,817
18202,0.54,Ideal,H,VS2,62.0,56.0,5.26,5.24,3.25,1284
19943,0.38,Premium,E,SI2,61.9,61.0,4.58,4.61,2.85,630
4168,0.53,Ideal,D,VS2,60.1,56.0,5.24,5.26,3.16,1723
7896,1.01,Very Good,G,VS2,61.7,58.0,6.39,6.44,3.96,6232
24270,0.6,Premium,E,SI1,59.6,62.0,5.49,5.45,3.26,1715
107,1.01,Very Good,E,SI1,63.3,57.0,6.36,6.33,4.01,4529
27930,0.33,Ideal,E,VS2,61.4,55.0,4.47,4.48,2.75,619
9761,0.33,Ideal,F,VS2,61.9,57.0,4.41,4.44,2.74,749
413,0.34,Ideal,E,VS2,62.5,55.0,4.5,4.47,2.81,784
27513,1.15,Premium,F,SI1,62.5,59.0,6.71,6.65,4.18,6657
11599,0.47,Good,F,VVS2,63.3,57.0,4.88,4.91,3.09,1263
28937,0.33,Ideal,D,VS2,62.7,57.0,4.48,4.5,2.8,1002
21839,1.21,Ideal,I,VS2,61.7,56.0,6.8,6.78,4.19,5405
26456,1.03,Premium,F,VS1,62.4,59.0,6.47,6.43,4.02,7257
4401,1.14,Premium,F,SI2,61.9,58.0,6.75,6.71,4.16,4915
26606,1.2,Very Good,H,SI1,62.4,57.0,6.8,6.75,4.22,6232
6167,0.45,Very Good,I,VVS1,63.0,58.0,4.83,4.87,3.06,736
11981,0.26,Ideal,F,VVS2,62.0,56.0,4.08,4.1,2.54,619
28530,0.33,Ideal,H,SI1,62.0,54.0,4.42,4.45,2.75,610
26941,0.3,Premium,G,VVS2,62.6,58.0,4.29,4.26,2.67,737
23363,0.39,Good,G,VVS1,63.1,57.0,4.59,4.65,2.91,977
18888,0.75,Ideal,D,VS2,62.3,53.0,5.89,5.85,3.65,3090
7838,1.5,Good,H,SI2,59.9,65.0,7.37,7.41,4.42,8107
22149,1.2,Ideal,G,VVS1,61.5,56.0,6.87,6.79,4.2,10071
26503,0.32,Ideal,F,SI2,61.8,55.0,4.31,4.35,2.68,421
14592,0.3,Ideal,E,VVS1,62.0,54.0,4.33,4.36,2.69,826
4511,0.51,Ideal,G,VVS2,61.5,56.0,5.12,5.15,3.16,1974
12509,1.01,Ideal,D,SI1,60.3,57.0,6.52,6.44,3.9,5697
11198,1.51,Premium,G,SI2,63.0,59.0,7.28,7.22,4.57,6583
6237,0.52,Ideal,I,SI1,62.2,56.0,5.16,5.19,3.22,1073
11993,1.16,Ideal,I,SI1,62.5,56.0,6.65,6.71,4.17,5510
2705,0.25,Ideal,G,IF,62.8,55.0,4.01,4.05,2.52,554
27058,0.57,Ideal,E,VS2,61.6,55.0,5.34,5.36,3.29,1563
5366,0.79,Ideal,F,SI1,62.6,54.0,5.89,5.96,3.7,2976
13312,0.34,Very Good,G,VS2,61.4,56.0,4.51,4.54,2.77,581
13264,0.57,Ideal,H,VVS1,61.8,56.0,5.3,5.34,3.28,1944
16917,0.73,Premium,F,VVS1,60.8,56.0,5.79,5.83,3.53,3720
535,1.51,Very Good,H,VS1,63.5,59.0,7.29,7.22,4.61,12100
26464,0.71,Premium,G,SI2,60.2,55.0,5.76,5.73,3.46,2174
24507,1.01,Premium,E,VS2,63.0,59.0,6.41,6.36,4.02,5786
18593,0.3,Premium,E,VVS1,61.0,60.0,4.31,4.34,2.64,842
28152,0.5,Very Good,J,SI1,62.3,55.0,5.06,5.12,3.17,1054
1761,0.7,Good,F,VS2,62.8,57.0,5.61,5.66,3.54,3253
22598,0.51,Good,E,SI1,63.2,61.0,5.07,5.02,3.19,1169
419,1.01,Premium,H,SI1,62.1,58.0,6.43,6.39,3.98,4795
20755,0.3,Ideal,D,VS2,62.0,56.0,4.31,4.35,2.68,758
14460,0.92,Very Good,E,SI2,62.8,63.0,6.18,6.2,3.89,3726
3414,1.01,Premium,D,VS2,62.0,59.0,6.43,6.41,3.99,7677
4293,0.51,Ideal,E,SI1,61.7,56.0,5.1,5.17,3.17,1337
11070,0.26,Premium,F,VS2,59.4,59.0,4.17,4.19,2.47,586
16030,0.74,Ideal,E,SI1,62.2,57.0,5.79,5.81,3.6,3047
10095,2.14,Ideal,J,VS2,60.2,58.0,8.37,8.42,5.07,15939
18432,0.93,Premium,E,SI1,62.6,57.0,6.27,6.23,3.91,3510
22253,1.03,Ideal,G,SI2,62.2,56.0,6.49,6.52,4.04,4368
16157,1.23,Very Good,H,SI1,62.1,57.0,6.84,6.87,4.26,6619
2010,1.04,Premium,F,SI1,62.2,56.0,6.49,6.52,4.04,4890
14307,1.5,Very Good,I,SI2,62.9,59.0,7.31,7.27,4.58,6321
24281,0.91,Premium,F,SI2,62.8,56.0,6.18,6.14,3.86,3822
16828,0.4,Good,I,VS1,63.9,54.0,4.67,4.7,2.99,747
5720,0.32,Premium,E,SI1,61.9,56.0,4.41,4.38,2.72,720
17002,0.37,Premium,E,VS2,60.3,58.0,4.61,4.66,2.79,811
24358,0.35,Premium,I,VS2,61.2,58.0,4.51,4.56,2.78,648
27726,0.51,Premium,G,VVS2,62.5,58.0,5.08,5.11,3.19,1778
268,0.5,Very Good,G,VVS2,62.8,58.0,5.08,5.05,3.18,1915
5858,0.42,Ideal,D,VS2,62.8,57.0,4.74,4.77,2.98,1002
485,0.7,Good,I,VS1,63.7,57.0,5.57,5.51,3.53,2184
9822,0.71,Ideal,E,SI2,61.1,55.0,5.74,5.78,3.52,2558
22727,1.2,Premium,H,SI1,61.9,59.0,6.78,6.73,4.18,5818
22892,0.53,Ideal,G,VVS1,60.4,56.0,5.29,5.26,3.19,1966
1013,0.31,Ideal,G,VVS1,62.3,56.0,4.4,4.36,2.72,1046
3281,0.25,Ideal,F,IF,61.9,56.0,4.0,4.03,2.48,740
22798,0.8,Ideal,I,VS2,61.0,56.0,6.04,6.02,3.67,3266
17421,0.32,Ideal,E,VVS2,60.1,57.0,4.45,4.5,2.68,842
2989,0.3,Ideal,E,VS2,61.1,57.0,4.36,4.33,2.65,844
19046,1.03,Premium,J,VS1,61.5,58.0,6.51,6.46,3.99,4144
9726,0.34,Ideal,H,VS2,60.2,57.0,4.57,4.53,2.74,689
6314,0.71,Very Good,H,VS2,60.0,57.0,5.81,5.85,3.49,2862
25084,0.63,Ideal,D,VS2,60.7,56.0,5.58,5.59,3.38,3181
23211,0.44,Ideal,G,SI1,61.7,55.0,4.87,4.88,3.01,810
6475,0.42,Ideal,E,VS1,61.3,56.0,4.81,4.84,2.96,1053
28064,0.71,Very Good,F,SI2,61.5,58.0,5.64,5.68,3.5,2270
9402,0.3,Ideal,F,VS2,62.1,53.6,4.27,4.31,2.67,601
10195,0.37,Premium,G,VS2,61.0,60.0,4.64,4.6,2.82,827
6809,0.32,Ideal,H,SI1,62.0,55.0,4.37,4.41,2.72,491
14743,0.7,Ideal,G,VS2,61.1,57.0,5.72,5.75,3.51,2581
29004,0.32,Premium,H,VS1,61.9,58.0,4.38,4.42,2.72,561
27465,0.43,Premium,F,SI1,61.0,60.0,4.84,4.87,2.96,791
4304,0.4,Ideal,F,VVS2,62.1,56.0,4.71,4.73,2.93,998
9841,2.08,Ideal,F,SI2,62.0,57.0,8.15,8.2,5.06,18398
14154,0.33,Ideal,E,VS1,61.1,56.0,4.48,4.45,2.73,982
1383,0.5,Ideal,G,VVS1,62.0,54.0,5.09,5.13,3.17,1950
8481,0.32,Premium,G,VS2,62.0,59.0,4.36,4.38,2.71,561
16524,0.3,Premium,F,VVS1,60.4,58.0,4.37,4.4,2.65,741
8385,1.2,Ideal,G,VS2,62.7,57.0,6.73,6.77,4.23,6830
20334,1.11,Premium,E,SI1,62.2,58.0,6.63,6.58,4.11,5236
8598,0.31,Ideal,G,VVS2,61.8,55.0,4.36,4.38,2.7,936
108,0.31,Ideal,H,VS2,61.4,56.0,4.34,4.38,2.68,477
11213,0.28,Very Good,E,VVS1,61.9,61.0,4.2,4.24,2.61,541
13795,0.31,Ideal,F,VS2,62.0,54.2,4.33,4.35,2.69,583
13615,1.02,Ideal,F,IF,62.0,56.0,6.5,6.47,4.02,9900
26346,1.23,Ideal,G,VS1,61.8,57.0,6.83,6.87,4.23,8073
8404,1.11,Ideal,H,SI2,61.8,55.0,6.64,6.65,4.11,4664
228,0.32,Ideal,F,VVS1,62.1,54.0,4.41,4.45,2.76,863
10912,0.4,Premium,E,SI1,62.0,62.0,4.69,4.65,2.9,882
24226,0.31,Ideal,G,IF,61.7,57.0,4.41,4.38,2.71,968
22976,1.03,Very Good,F,SI1,60.0,60.0,6.56,6.59,3.94,5120
27481,1.01,Premium,G,VS1,61.5,59.0,6.45,6.42,3.96,6239
28363,0.31,Ideal,D,VS2,62.1,54.0,4.38,4.36,2.71,942
11246,0.32,Ideal,D,VS2,61.6,55.0,4.43,4.48,2.74,758
13975,0.3,Ideal,G,IF,62.3,54.0,4.28,4.31,2.68,863
25836,0.31,Ideal,F,VS1,61.1,55.0,4.37,4.4,2.68,660
17074,2.0,Good,E,SI2,63.6,59.0,7.98,7.94,5.05,13111
16357,1.11,Ideal,H,SI1,62.3,57.0,6.6,6.63,4.13,5183
26698,1.0,Premium,H,SI1,61.2,60.0,6.46,6.5,3.97,4788
4742,0.59,Ideal,D,VS2,62.0,53.0,5.39,5.43,3.36,1793
20888,0.5,Very Good,H,SI1,62.8,58.0,5.07,5.1,3.19,1235
10281,0.5,Premium,G,SI2,61.1,60.0,5.1,5.13,3.13,1133
25489,0.32,Ideal,E,SI1,62.5,57.0,4.41,4.43,2.76,720
1153,1.18,Ideal,E,SI2,61.7,55.0,6.84,6.8,4.21,4969
2679,1.2,Premium,H,SI1,60.6,58.0,6.89,6.97,4.19,6021
28376,0.9,Very Good,D,SI1,63.6,57.0,6.1,6.12,3.89,3689
839,0.57,Ideal,G,IF,61.6,55.0,5.35,5.38,3.3,2491
23266,2.03,Ideal,I,VS1,60.6,61.0,8.25,8.18,4.97,15185
3514,0.71,Very Good,E,SI2,62.6,59.0,5.65,5.73,3.56,2398
17013,0.71,Very Good,E,SI2,61.2,57.0,5.76,5.79,3.53,2376
4774,0.93,Premium,D,SI1,61.5,59.0,6.23,6.29,3.85,4136
26179,0.3,Ideal,D,VS1,62.6,58.0,4.29,4.31,2.69,742
27368,1.56,Ideal,H,VS2,62.1,55.0,7.43,7.46,4.62,11431
21566,1.03,Ideal,F,SI2,60.9,56.0,6.55,6.52,3.99,4678
16403,1.51,Ideal,I,VVS2,62.9,56.0,7.28,7.34,4.6,10472
29553,0.34,Premium,H,VS1,62.6,58.0,4.48,4.45,2.79,789
29464,1.59,Premium,D,SI1,60.7,61.0,7.54,7.49,4.57,15238
17706,0.26,Ideal,F,VS2,61.6,56.0,4.07,4.1,2.52,572
12415,2.14,Premium,E,SI2,59.3,58.0,8.39,8.43,5.05,17570
23240,1.04,Good,F,SI2,63.1,56.0,6.47,6.52,4.09,4620
20520,0.31,Ideal,H,VS2,62.0,56.0,4.39,4.35,2.71,628
17980,0.52,Ideal,H,VS1,62.6,57.0,5.1,5.14,3.21,1577
24089,0.7,Very Good,E,VS1,61.9,59.0,5.66,5.7,3.51,2154
11742,1.24,Ideal,H,VVS2,60.8,57.0,6.94,6.98,4.22,8818
18304,0.91,Good,G,SI2,59.3,61.0,6.35,6.31,3.72,3881
26417,1.07,Ideal,D,SI2,60.9,57.0,6.58,6.62,4.02,5141
6316,1.0,Good,F,SI2,63.9,57.0,6.38,6.34,4.05,3615
4988,0.5,Very Good,F,VS2,63.3,57.0,5.02,5.05,3.19,1436
2221,0.75,Very Good,E,VS2,62.5,57.0,5.78,5.84,3.63,3425
17784,0.59,Ideal,E,VS2,62.5,56.0,5.35,5.38,3.36,1851
14187,1.07,Premium,I,VS1,61.2,61.0,6.6,6.57,4.03,4082
11345,1.01,Premium,I,VS2,62.1,59.0,6.48,6.44,4.01,4166
9191,0.53,Very Good,F,VVS2,61.0,56.0,5.21,5.26,3.2,2016
16007,0.51,Very Good,G,VS2,62.8,58.0,5.06,5.11,3.2,1443
29866,1.0,Premium,D,VS1,60.6,62.0,6.47,6.44,3.91,8818
14107,1.52,Premium,H,VS2,61.5,60.0,7.49,7.32,4.55,10692
